"filename", "language", "YAML", "TypeScript", "Markdown", "JSON with Comments", "MS SQL", "Docker", "JSON", "Java", "HTML", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\ReportsView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 271, 0, 0, 0, 0, 4, 81, 356
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\ResetPasswordView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 13, 83
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\RoomManagementView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 654, 0, 0, 0, 0, 62, 142, 858
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\SettingsView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 323, 0, 0, 0, 0, 8, 110, 441
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\UserManagementView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 313, 0, 0, 0, 0, 9, 82, 404
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\RoomCard.java", "Java", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 9, 30, 145
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\RoomGrid.java", "Java", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 7, 31, 176
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\createNewBookingForm.java", "Java", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 14, 31, 180
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\resources\data.sql", "MS SQL", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 20, 25, 190
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\tsconfig.json", "JSON with Comments", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 40
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\types.d.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\vite.generated.ts", "TypeScript", 0, 693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 80, 816
"Total", "-", 25, 708, 120, 34, 145, 10, 438, 7620, 35, 14387, 97, 1514, 1460, 4364, 30957
