"filename", "language", "PostCSS", "Java", "MS SQL", "comment", "blank", "total"
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\EmailTestView.java", "Java", 0, 1, 0, 0, 0, 1
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\GuestPortalView.java", "Java", 0, 59, 0, 13, 12, 84
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\ImageUploadView.java", "Java", 0, 221, 0, 16, 53, 290
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\InvoiceView.java", "Java", 0, 2, 0, 0, 0, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\LoginView.java", "Java", 0, -82, 0, -14, -18, -114
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\MainLayout.java", "Java", 0, -28, 0, -1, -5, -34
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\MyBookingsView.java", "Java", 0, -98, 0, 7, -8, -99
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\MyReviewsView.java", "Java", 0, -19, 0, -4, -6, -29
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\RegistrationView.java", "Java", 0, -386, 0, -20, -78, -484
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\ReportsView.java", "Java", 0, -120, 0, 3, -34, -151
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\RoomManagementView.java", "Java", 0, -202, 0, -36, -49, -287
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\SettingsView.java", "Java", 0, -323, 0, -8, -110, -441
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\UserManagementView.java", "Java", 0, -13, 0, 1, -9, -21
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\AddUserForm.java", "Java", 0, 149, 0, 18, 35, 202
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\BookingDetailsDialog.java", "Java", 0, 134, 0, 6, 30, 170
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\CardFactory.java", "Java", 0, 130, 0, 65, 45, 240
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\LoginForm.java", "Java", 0, 117, 0, 9, 30, 156
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\RegistrationForm.java", "Java", 0, 353, 0, 12, 76, 441
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\RoomCard.java", "Java", 0, 103, 0, 72, 18, 193
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\RoomCategoryForm.java", "Java", 0, 94, 0, 5, 25, 124
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\RoomForm.java", "Java", 0, 104, 0, 8, 25, 137
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\components\RoomGrid.java", "Java", 0, -112, 0, 6, -21, -127
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\createNewBookingForm.java", "Java", 0, 51, 0, 9, 11, 71
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\resources\data.sql", "MS SQL", 0, 0, 13, 2, 5, 20
"Total", "-", -61, 414, 13, 195, 134, 695
