"filename", "language", "XML", "TypeScript", "HTML", "JSON", "JSON with Comments", "PostCSS", "Markdown", "Java", "JavaScript", "comment", "blank", "total"
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\ReportsView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 271, 0, 4, 81, 356
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\RoomManagementView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 456, 0, 5, 101, 562
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\RootRedirectView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 4, 19
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\SettingsView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 323, 0, 8, 110, 441
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\java\com\hotel\booking\view\UserManagementView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 409, 0, 1, 91, 501
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 1, 40
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\types.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 1, 11
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\vite.generated.ts", "TypeScript", 0, 713, 0, 0, 0, 0, 0, 0, 0, 28, 87, 828
"Total", "-", 89, 723, 35, 524, 34, 832, 92, 4698, 14387, 1050, 3499, 25963
